	User_GO:IDS	User_Go_Defs	Slim_GO:IDS	Slim_Go_Defs
1377	GO:0071805	potassium ion transmembrane transport	GO:0006725	cellular aromatic compound metabolic process
1378	GO:0071805	potassium ion transmembrane transport	GO:0006793	phosphorus metabolic process
1379	GO:0071805	potassium ion transmembrane transport	GO:0006807	nitrogen compound metabolic process
1380	GO:0071805	potassium ion transmembrane transport	GO:0006811	monoatomic ion transport
1381	GO:0071805	potassium ion transmembrane transport	GO:0009058	biosynthetic process
1382	GO:0071805	potassium ion transmembrane transport	GO:0009117	nucleotide metabolic process
1383	GO:0071805	potassium ion transmembrane transport	GO:0034641	cellular nitrogen compound metabolic process
1384	GO:0071805	potassium ion transmembrane transport	GO:0046483	heterocycle metabolic process
1385	GO:0071805	potassium ion transmembrane transport	GO:0050789	regulation of biological process
1386	GO:0071805	potassium ion transmembrane transport	GO:0055085	transmembrane transport
1387	GO:0071805	potassium ion transmembrane transport	GO:0055086	nucleobase-containing small molecule metabolic process
1388	GO:0071897	DNA biosynthetic process	GO:0006259	DNA metabolic process
1389	GO:0071897	DNA biosynthetic process	GO:0009058	biosynthetic process
1390	GO:0071897	DNA biosynthetic process	GO:0034641	cellular nitrogen compound metabolic process
1391	GO:0071897	DNA biosynthetic process	GO:0098796	membrane protein complex
1392	GO:0090114	COPII-coated vesicle budding	GO:0061024	membrane organization
1393	GO:0090305	nucleic acid phosphodiester bond hydrolysis	GO:0043170	macromolecule metabolic process
1394	GO:0097190	apoptotic signaling pathway	GO:0007165	signal transduction
1395	GO:0097503	sialylation	GO:0032787	monocarboxylic acid metabolic process
1396	GO:0098609	cell-cell adhesion	GO:0007155	cell adhesion
1397	GO:0098655	monoatomic cation transmembrane transport	GO:0006811	monoatomic ion transport
1398	GO:0098655	monoatomic cation transmembrane transport	GO:0022618	protein-RNA complex assembly
1399	GO:0098869	cellular oxidant detoxification	GO:0005515	protein binding
1400	GO:0098869	cellular oxidant detoxification	GO:0016020	membrane
1401	GO:0098869	cellular oxidant detoxification	GO:0098754	detoxification
1402	GO:0101030	tRNA-guanine transglycosylation	GO:0022857	transmembrane transporter activity
1403	GO:0101030	tRNA-guanine transglycosylation	GO:0140096	catalytic activity, acting on a protein
1404	GO:0102121	ceramidase activity	GO:0048583	regulation of response to stimulus
1405	GO:0102121	ceramidase activity	GO:0050789	regulation of biological process
1406	GO:0102121	ceramidase activity	GO:0050794	regulation of cellular process
1407	GO:0106310	protein serine kinase activity	GO:0042221	response to chemical
1408	GO:0120009	intermembrane lipid transfer	GO:0006869	lipid transport
1409	GO:0120009	intermembrane lipid transfer	GO:0016829	lyase activity
1410	GO:0140359	ABC-type transporter activity	GO:0000226	microtubule cytoskeleton organization
1411	GO:0140359	ABC-type transporter activity	GO:0005215	transporter activity
1412	GO:0140359	ABC-type transporter activity	GO:0005488	binding
1413	GO:0140359	ABC-type transporter activity	GO:0019222	regulation of metabolic process
1414	GO:0140359	ABC-type transporter activity	GO:0038023	signaling receptor activity
1415	GO:0140359	ABC-type transporter activity	GO:0050794	regulation of cellular process
1416	GO:0140359	ABC-type transporter activity	GO:0140657	ATP-dependent activity
1417	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0006807	nitrogen compound metabolic process
1418	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0009058	biosynthetic process
1419	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0009116	nucleoside metabolic process
1420	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0016829	lyase activity
1421	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0022857	transmembrane transporter activity
1422	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0034641	cellular nitrogen compound metabolic process
1423	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0046483	heterocycle metabolic process
1424	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0048583	regulation of response to stimulus
1425	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0051049	regulation of transport
1426	GO:0140658	ATP-dependent chromatin remodeler activity	GO:0140657	ATP-dependent activity
1427	GO:1901222	regulation of non-canonical NF-kappaB signal transduction	GO:0001775	cell activation
1428	GO:1901222	regulation of non-canonical NF-kappaB signal transduction	GO:0006725	cellular aromatic compound metabolic process
1429	GO:1902018	negative regulation of cilium assembly	GO:0050794	regulation of cellular process
1430	GO:1902476	chloride transmembrane transport	GO:0005515	protein binding
1431	GO:1902476	chloride transmembrane transport	GO:0006807	nitrogen compound metabolic process
1432	GO:1902476	chloride transmembrane transport	GO:0006810	transport
1433	GO:1902476	chloride transmembrane transport	GO:0055085	transmembrane transport
1434	GO:1902476	chloride transmembrane transport	GO:0140096	catalytic activity, acting on a protein
1435	GO:1903830	magnesium ion transmembrane transport	GO:0000166	nucleotide binding
1436	GO:1903830	magnesium ion transmembrane transport	GO:0030554	adenyl nucleotide binding
1437	GO:1903830	magnesium ion transmembrane transport	GO:0055085	transmembrane transport
1438	GO:1903830	magnesium ion transmembrane transport	GO:0097367	carbohydrate derivative binding
1439	GO:2001045	negative regulation of integrin-mediated signaling pathway	GO:0048523	negative regulation of cellular process
1440	GO:2001045	negative regulation of integrin-mediated signaling pathway	GO:0050794	regulation of cellular process
1441	GO:0003676	nucleic acid binding	GO:0003676	nucleic acid binding
1442	GO:0003723	RNA binding	GO:0003723	RNA binding
1443	GO:0003723	RNA binding	GO:0003723	RNA binding
1444	GO:0003723	RNA binding	GO:0003723	RNA binding
1445	GO:0016491	oxidoreductase activity	GO:0016491	oxidoreductase activity
1446	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1447	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1448	GO:0003774	cytoskeletal motor activity	GO:0003774	cytoskeletal motor activity
1449	GO:0007018	microtubule-based movement	GO:0007018	microtubule-based movement
1450	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1451	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1452	GO:0016020	membrane	GO:0016020	membrane
1453	GO:0008168	methyltransferase activity	GO:0008168	methyltransferase activity
1454	GO:0016740	transferase activity	GO:0016740	transferase activity
1455	GO:0008033	tRNA processing	GO:0008033	tRNA processing
1456	GO:0032259	methylation	GO:0032259	methylation
1457	GO:0005634	nucleus	GO:0005634	nucleus
1458	GO:0005634	nucleus	GO:0005634	nucleus
1459	GO:0043547	positive regulation of GTPase activity	GO:0043547	positive regulation of GTPase activity
1460	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1461	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1462	GO:0016301	kinase activity	GO:0016301	kinase activity
1463	GO:0016740	transferase activity	GO:0016740	transferase activity
1464	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1465	GO:0007010	cytoskeleton organization	GO:0007010	cytoskeleton organization
1466	GO:0016310	phosphorylation	GO:0016310	phosphorylation
1467	GO:0035556	intracellular signal transduction	GO:0035556	intracellular signal transduction
1468	GO:0005516	calmodulin binding	GO:0005516	calmodulin binding
1469	GO:0016020	membrane	GO:0016020	membrane
1470	GO:0030036	actin cytoskeleton organization	GO:0030036	actin cytoskeleton organization
1471	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1472	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1473	GO:0042393	histone binding	GO:0042393	histone binding
1474	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1475	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1476	GO:0005634	nucleus	GO:0005634	nucleus
1477	GO:0005634	nucleus	GO:0005634	nucleus
1478	GO:0005634	nucleus	GO:0005634	nucleus
1479	GO:0070603	SWI/SNF superfamily-type complex	GO:0070603	SWI/SNF superfamily-type complex
1480	GO:0006281	DNA repair	GO:0006281	DNA repair
1481	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1482	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1483	GO:0016301	kinase activity	GO:0016301	kinase activity
1484	GO:0016740	transferase activity	GO:0016740	transferase activity
1485	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1486	GO:0016310	phosphorylation	GO:0016310	phosphorylation
1487	GO:0048511	rhythmic process	GO:0048511	rhythmic process
1488	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1489	GO:0003723	RNA binding	GO:0003723	RNA binding
1490	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1491	GO:0051536	iron-sulfur cluster binding	GO:0051536	iron-sulfur cluster binding
1492	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1493	GO:0005829	cytosol	GO:0005829	cytosol
1494	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1495	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1496	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1497	GO:0005840	ribosome	GO:0005840	ribosome
1498	GO:1990904	ribonucleoprotein complex	GO:1990904	ribonucleoprotein complex
1499	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1500	GO:0006629	lipid metabolic process	GO:0006629	lipid metabolic process
1501	GO:0016020	membrane	GO:0016020	membrane
1502	GO:0016020	membrane	GO:0016020	membrane
1503	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1504	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1505	GO:0005740	mitochondrial envelope	GO:0005740	mitochondrial envelope
1506	GO:0016020	membrane	GO:0016020	membrane
1507	GO:0016020	membrane	GO:0016020	membrane
1508	GO:0016020	membrane	GO:0016020	membrane
1509	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1510	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1511	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1512	GO:0016740	transferase activity	GO:0016740	transferase activity
1513	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1514	GO:0007165	signal transduction	GO:0007165	signal transduction
1515	GO:0005634	nucleus	GO:0005634	nucleus
1516	GO:0019843	rRNA binding	GO:0019843	rRNA binding
1517	GO:0006364	rRNA processing	GO:0006364	rRNA processing
1518	GO:0005730	nucleolus	GO:0005730	nucleolus
1519	GO:0003712	transcription coregulator activity	GO:0003712	transcription coregulator activity
1520	GO:0006351	DNA-templated transcription	GO:0006351	DNA-templated transcription
1521	GO:0005634	nucleus	GO:0005634	nucleus
1522	GO:0005179	hormone activity	GO:0005179	hormone activity
1523	GO:0005179	hormone activity	GO:0005179	hormone activity
1524	GO:0007165	signal transduction	GO:0007165	signal transduction
1525	GO:0005576	extracellular region	GO:0005576	extracellular region
1526	GO:0005576	extracellular region	GO:0005576	extracellular region
1527	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1528	GO:0022857	transmembrane transporter activity	GO:0022857	transmembrane transporter activity
1529	GO:0055085	transmembrane transport	GO:0055085	transmembrane transport
1530	GO:0016020	membrane	GO:0016020	membrane
1531	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1532	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1533	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1534	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1535	GO:0005085	guanyl-nucleotide exchange factor activity	GO:0005085	guanyl-nucleotide exchange factor activity
1536	GO:0005085	guanyl-nucleotide exchange factor activity	GO:0005085	guanyl-nucleotide exchange factor activity
1537	GO:0050790	regulation of catalytic activity	GO:0050790	regulation of catalytic activity
1538	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1539	GO:0055085	transmembrane transport	GO:0055085	transmembrane transport
1540	GO:0016020	membrane	GO:0016020	membrane
1541	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1542	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1543	GO:0007166	cell surface receptor signaling pathway	GO:0007166	cell surface receptor signaling pathway
1544	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1545	GO:0016020	membrane	GO:0016020	membrane
1546	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1547	GO:1902600	proton transmembrane transport	GO:1902600	proton transmembrane transport
1548	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1549	GO:0016020	membrane	GO:0016020	membrane
1550	GO:0004252	serine-type endopeptidase activity	GO:0004252	serine-type endopeptidase activity
1551	GO:0004252	serine-type endopeptidase activity	GO:0004252	serine-type endopeptidase activity
1552	GO:0008233	peptidase activity	GO:0008233	peptidase activity
1553	GO:0008233	peptidase activity	GO:0008233	peptidase activity
1554	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1555	GO:0006508	proteolysis	GO:0006508	proteolysis
1556	GO:0005783	endoplasmic reticulum	GO:0005783	endoplasmic reticulum
1557	GO:0016020	membrane	GO:0016020	membrane
1558	GO:0016020	membrane	GO:0016020	membrane
1559	GO:0016020	membrane	GO:0016020	membrane
1560	GO:0003677	DNA binding	GO:0003677	DNA binding
1561	GO:0003677	DNA binding	GO:0003677	DNA binding
1562	GO:0003700	DNA-binding transcription factor activity	GO:0003700	DNA-binding transcription factor activity
1563	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1564	GO:0005634	nucleus	GO:0005634	nucleus
1565	GO:0005634	nucleus	GO:0005634	nucleus
1566	GO:0005634	nucleus	GO:0005634	nucleus
1567	GO:0005634	nucleus	GO:0005634	nucleus
1568	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1569	GO:0003677	DNA binding	GO:0003677	DNA binding
1570	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1571	GO:0030154	cell differentiation	GO:0030154	cell differentiation
1572	GO:0005634	nucleus	GO:0005634	nucleus
1573	GO:0005634	nucleus	GO:0005634	nucleus
1574	GO:0006887	exocytosis	GO:0006887	exocytosis
1575	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1576	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1577	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1578	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1579	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1580	GO:0016020	membrane	GO:0016020	membrane
1581	GO:0008289	lipid binding	GO:0008289	lipid binding
1582	GO:0016020	membrane	GO:0016020	membrane
1583	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1584	GO:0003924	GTPase activity	GO:0003924	GTPase activity
1585	GO:0008033	tRNA processing	GO:0008033	tRNA processing
1586	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1587	GO:0016301	kinase activity	GO:0016301	kinase activity
1588	GO:0016740	transferase activity	GO:0016740	transferase activity
1589	GO:0016310	phosphorylation	GO:0016310	phosphorylation
1590	GO:0016020	membrane	GO:0016020	membrane
1591	GO:0003677	DNA binding	GO:0003677	DNA binding
1592	GO:0003677	DNA binding	GO:0003677	DNA binding
1593	GO:0003677	DNA binding	GO:0003677	DNA binding
1594	GO:0003677	DNA binding	GO:0003677	DNA binding
1595	GO:0003700	DNA-binding transcription factor activity	GO:0003700	DNA-binding transcription factor activity
1596	GO:0006351	DNA-templated transcription	GO:0006351	DNA-templated transcription
1597	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1598	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1599	GO:0005634	nucleus	GO:0005634	nucleus
1600	GO:0005634	nucleus	GO:0005634	nucleus
1601	GO:0005634	nucleus	GO:0005634	nucleus
1602	GO:0005634	nucleus	GO:0005634	nucleus
1603	GO:0005634	nucleus	GO:0005634	nucleus
1604	GO:0015031	protein transport	GO:0015031	protein transport
1605	GO:0005768	endosome	GO:0005768	endosome
1606	GO:0016020	membrane	GO:0016020	membrane
1607	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1608	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1609	GO:0004672	protein kinase activity	GO:0004672	protein kinase activity
1610	GO:0006468	protein phosphorylation	GO:0006468	protein phosphorylation
1611	GO:0018108	peptidyl-tyrosine phosphorylation	GO:0018108	peptidyl-tyrosine phosphorylation
1612	GO:0018108	peptidyl-tyrosine phosphorylation	GO:0018108	peptidyl-tyrosine phosphorylation
1613	GO:0016020	membrane	GO:0016020	membrane
1614	GO:0016020	membrane	GO:0016020	membrane
1615	GO:0016020	membrane	GO:0016020	membrane
1616	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1617	GO:0016740	transferase activity	GO:0016740	transferase activity
1618	GO:0008168	methyltransferase activity	GO:0008168	methyltransferase activity
1619	GO:0016740	transferase activity	GO:0016740	transferase activity
1620	GO:0006281	DNA repair	GO:0006281	DNA repair
1621	GO:0006325	chromatin organization	GO:0006325	chromatin organization
1622	GO:0032259	methylation	GO:0032259	methylation
1623	GO:0034729	histone H3-K79 methylation	GO:0034729	histone H3-K79 methylation
1624	GO:0034729	histone H3-K79 methylation	GO:0034729	histone H3-K79 methylation
1625	GO:0034729	histone H3-K79 methylation	GO:0034729	histone H3-K79 methylation
1626	GO:0051726	regulation of cell cycle	GO:0051726	regulation of cell cycle
1627	GO:2000677	regulation of transcription regulatory region DNA binding	GO:2000677	regulation of transcription regulatory region DNA binding
1628	GO:0005634	nucleus	GO:0005634	nucleus
1629	GO:0005634	nucleus	GO:0005634	nucleus
1630	GO:0005634	nucleus	GO:0005634	nucleus
1631	GO:0005634	nucleus	GO:0005634	nucleus
1632	GO:0005634	nucleus	GO:0005634	nucleus
1633	GO:0005634	nucleus	GO:0005634	nucleus
1634	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1635	GO:0006281	DNA repair	GO:0006281	DNA repair
1636	GO:0006310	DNA recombination	GO:0006310	DNA recombination
1637	GO:0006974	DNA damage response	GO:0006974	DNA damage response
1638	GO:0005634	nucleus	GO:0005634	nucleus
1639	GO:0005634	nucleus	GO:0005634	nucleus
1640	GO:0005694	chromosome	GO:0005694	chromosome
1641	GO:0003677	DNA binding	GO:0003677	DNA binding
1642	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1643	GO:0006351	DNA-templated transcription	GO:0006351	DNA-templated transcription
1644	GO:0005634	nucleus	GO:0005634	nucleus
1645	GO:0005634	nucleus	GO:0005634	nucleus
1646	GO:0005615	extracellular space	GO:0005615	extracellular space
1647	GO:0003677	DNA binding	GO:0003677	DNA binding
1648	GO:0005634	nucleus	GO:0005634	nucleus
1649	GO:0008081	phosphoric diester hydrolase activity	GO:0008081	phosphoric diester hydrolase activity
1650	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1651	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1652	GO:0007165	signal transduction	GO:0007165	signal transduction
1653	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1654	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1655	GO:0016020	membrane	GO:0016020	membrane
1656	GO:0016020	membrane	GO:0016020	membrane
1657	GO:0016020	membrane	GO:0016020	membrane
1658	GO:0003735	structural constituent of ribosome	GO:0003735	structural constituent of ribosome
1659	GO:0006412	translation	GO:0006412	translation
1660	GO:0032543	mitochondrial translation	GO:0032543	mitochondrial translation
1661	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1662	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1663	GO:0005840	ribosome	GO:0005840	ribosome
1664	GO:0005840	ribosome	GO:0005840	ribosome
1665	GO:1990904	ribonucleoprotein complex	GO:1990904	ribonucleoprotein complex
1666	GO:0003677	DNA binding	GO:0003677	DNA binding
1667	GO:0005085	guanyl-nucleotide exchange factor activity	GO:0005085	guanyl-nucleotide exchange factor activity
1668	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1669	GO:0016192	vesicle-mediated transport	GO:0016192	vesicle-mediated transport
1670	GO:0050790	regulation of catalytic activity	GO:0050790	regulation of catalytic activity
1671	GO:0005768	endosome	GO:0005768	endosome
1672	GO:0005768	endosome	GO:0005768	endosome
1673	GO:0005768	endosome	GO:0005768	endosome
1674	GO:0031410	cytoplasmic vesicle	GO:0031410	cytoplasmic vesicle
1675	GO:0032991	protein-containing complex	GO:0032991	protein-containing complex
1676	GO:0060090	molecular adaptor activity	GO:0060090	molecular adaptor activity
1677	GO:0007165	signal transduction	GO:0007165	signal transduction
1678	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1679	GO:0016020	membrane	GO:0016020	membrane
1680	GO:0003677	DNA binding	GO:0003677	DNA binding
1681	GO:0005634	nucleus	GO:0005634	nucleus
1682	GO:0016740	transferase activity	GO:0016740	transferase activity
1683	GO:0016757	glycosyltransferase activity	GO:0016757	glycosyltransferase activity
1684	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1685	GO:0008033	tRNA processing	GO:0008033	tRNA processing
1686	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1687	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1688	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1689	GO:0005739	mitochondrion	GO:0005739	mitochondrion
1690	GO:0016020	membrane	GO:0016020	membrane
1691	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1692	GO:0003824	catalytic activity	GO:0003824	catalytic activity
1693	GO:0016491	oxidoreductase activity	GO:0016491	oxidoreductase activity
1694	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1695	GO:0016874	ligase activity	GO:0016874	ligase activity
1696	GO:0006730	one-carbon metabolic process	GO:0006730	one-carbon metabolic process
1697	GO:0007155	cell adhesion	GO:0007155	cell adhesion
1698	GO:0005576	extracellular region	GO:0005576	extracellular region
1699	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1700	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1701	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1702	GO:0016829	lyase activity	GO:0016829	lyase activity
1703	GO:0006869	lipid transport	GO:0006869	lipid transport
1704	GO:0006914	autophagy	GO:0006914	autophagy
1705	GO:0006914	autophagy	GO:0006914	autophagy
1706	GO:0016020	membrane	GO:0016020	membrane
1707	GO:0016020	membrane	GO:0016020	membrane
1708	GO:0016740	transferase activity	GO:0016740	transferase activity
1709	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1710	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1711	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1712	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1713	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1714	GO:0007165	signal transduction	GO:0007165	signal transduction
1715	GO:0051179	localization	GO:0051179	localization
1716	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1717	GO:0005856	cytoskeleton	GO:0005856	cytoskeleton
1718	GO:0016020	membrane	GO:0016020	membrane
1719	GO:0016020	membrane	GO:0016020	membrane
1720	GO:0003723	RNA binding	GO:0003723	RNA binding
1721	GO:0006397	mRNA processing	GO:0006397	mRNA processing
1722	GO:0008380	RNA splicing	GO:0008380	RNA splicing
1723	GO:0008380	RNA splicing	GO:0008380	RNA splicing
1724	GO:0016020	membrane	GO:0016020	membrane
1725	GO:0005681	spliceosomal complex	GO:0005681	spliceosomal complex
1726	GO:0050790	regulation of catalytic activity	GO:0050790	regulation of catalytic activity
1727	GO:0003677	DNA binding	GO:0003677	DNA binding
1728	GO:0003677	DNA binding	GO:0003677	DNA binding
1729	GO:0003677	DNA binding	GO:0003677	DNA binding
1730	GO:0003677	DNA binding	GO:0003677	DNA binding
1731	GO:0006351	DNA-templated transcription	GO:0006351	DNA-templated transcription
1732	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1733	GO:0006355	regulation of DNA-templated transcription	GO:0006355	regulation of DNA-templated transcription
1734	GO:0005634	nucleus	GO:0005634	nucleus
1735	GO:0005634	nucleus	GO:0005634	nucleus
1736	GO:0005634	nucleus	GO:0005634	nucleus
1737	GO:0005200	structural constituent of cytoskeleton	GO:0005200	structural constituent of cytoskeleton
1738	GO:0007010	cytoskeleton organization	GO:0007010	cytoskeleton organization
1739	GO:0007165	signal transduction	GO:0007165	signal transduction
1740	GO:0016787	hydrolase activity	GO:0016787	hydrolase activity
1741	GO:0005634	nucleus	GO:0005634	nucleus
1742	GO:0005634	nucleus	GO:0005634	nucleus
1743	GO:0005634	nucleus	GO:0005634	nucleus
1744	GO:0005634	nucleus	GO:0005634	nucleus
1745	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1746	GO:0043547	positive regulation of GTPase activity	GO:0043547	positive regulation of GTPase activity
1747	GO:0005737	cytoplasm	GO:0005737	cytoplasm
1748	GO:0010951	negative regulation of endopeptidase activity	GO:0010951	negative regulation of endopeptidase activity
1749	GO:0005615	extracellular space	GO:0005615	extracellular space
1750	GO:0016740	transferase activity	GO:0016740	transferase activity
1751	GO:0018216	peptidyl-arginine methylation	GO:0018216	peptidyl-arginine methylation
1752	GO:0016020	membrane	GO:0016020	membrane
1753	GO:0110165	cellular anatomical entity	GO:0110165	cellular anatomical entity
1754	GO:0016020	membrane	GO:0016020	membrane
1755	GO:0016020	membrane	GO:0016020	membrane
1756	GO:0008219	cell death	GO:0008219	cell death
1757	GO:0012501	programmed cell death	GO:0012501	programmed cell death
1758	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1759	GO:0016020	membrane	GO:0016020	membrane
1760	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1761	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1762	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1763	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1764	GO:0016020	membrane	GO:0016020	membrane
1765	GO:0016020	membrane	GO:0016020	membrane
1766	GO:0016020	membrane	GO:0016020	membrane
1767	GO:0045202	synapse	GO:0045202	synapse
1768	GO:0045211	postsynaptic membrane	GO:0045211	postsynaptic membrane
1769	GO:0045211	postsynaptic membrane	GO:0045211	postsynaptic membrane
1770	GO:0097060	synaptic membrane	GO:0097060	synaptic membrane
1771	GO:0003676	nucleic acid binding	GO:0003676	nucleic acid binding
1772	GO:0003723	RNA binding	GO:0003723	RNA binding
1773	GO:0003723	RNA binding	GO:0003723	RNA binding
1774	GO:0003723	RNA binding	GO:0003723	RNA binding
1775	GO:0006914	autophagy	GO:0006914	autophagy
1776	GO:0005634	nucleus	GO:0005634	nucleus
1777	GO:0016020	membrane	GO:0016020	membrane
1778	GO:0031410	cytoplasmic vesicle	GO:0031410	cytoplasmic vesicle
1779	GO:0005516	calmodulin binding	GO:0005516	calmodulin binding
1780	GO:0016788	hydrolase activity, acting on ester bonds	GO:0016788	hydrolase activity, acting on ester bonds
1781	GO:0016020	membrane	GO:0016020	membrane
1782	GO:0016020	membrane	GO:0016020	membrane
1783	GO:0016020	membrane	GO:0016020	membrane
1784	GO:0016020	membrane	GO:0016020	membrane
1785	GO:0000166	nucleotide binding	GO:0000166	nucleotide binding
1786	GO:0016301	kinase activity	GO:0016301	kinase activity
1787	GO:0016301	kinase activity	GO:0016301	kinase activity
1788	GO:0016740	transferase activity	GO:0016740	transferase activity
1789	GO:0046872	metal ion binding	GO:0046872	metal ion binding
1790	GO:0006629	lipid metabolic process	GO:0006629	lipid metabolic process
1791	GO:0007165	signal transduction	GO:0007165	signal transduction
1792	GO:0016310	phosphorylation	GO:0016310	phosphorylation
1793	GO:0016020	membrane	GO:0016020	membrane
1794	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1795	GO:0006811	monoatomic ion transport	GO:0006811	monoatomic ion transport
1796	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1797	GO:0005886	plasma membrane	GO:0005886	plasma membrane
1798	GO:0016020	membrane	GO:0016020	membrane
1799	GO:0016020	membrane	GO:0016020	membrane
